DBA,CUISINE DESCRIPTION,VIOLATION CODE,VIOLATION DESCRIPTION,SCORE,BORO,BUILDING,STREET,ZIPCODE,Address,
NEW VICTORY RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,62,BROOKLYN,4803,5 AVENUE,11220,"4803 5 AVENUE, BROOKLYN, New York City, 11220",
BEKY BAKERY AND COFFEE SHOP,Spanish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,63,QUEENS,3778,103 STREET,11368,"3778 103 STREET, QUEENS, New York City, 11368",
DUNKIN' DONUTS,Donuts,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",53,STATEN ISLAND,770,FOREST AVENUE,10310,"770 FOREST AVENUE, STATEN ISLAND, New York City, 10310",
SEABREEZE FOOD,Caribbean,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",36,BROOKLYN,1562,RALPH AVE,11236,"1562 RALPH AVE, BROOKLYN, New York City, 11236",
UNCLE JIMMY'S PIZZA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,39,QUEENS,4110,49TH ST,11104,"4110 49TH ST, QUEENS, New York City, 11104",
POPEYES LOUISIANA KITCHEN,Chicken,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,47,BROOKLYN,702,ROCKAWAY AVENUE,11212,"702 ROCKAWAY AVENUE, BROOKLYN, New York City, 11212",
OLD COUNTRY BAGEL,Bagels/Pretzels,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,11,QUEENS,16226,CROSS BAY BLVD,11414,"16226 CROSS BAY BLVD, QUEENS, New York City, 11414",
LA POTENCIA RESTAURANT,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",30,BRONX,1898,JEROME AVE,10453,"1898 JEROME AVE, BRONX, New York City, 10453",
CARIBBEAN STYLE BAKERY AND RESTAURANT,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,19,QUEENS,10903,LIBERTY AVE,11419,"10903 LIBERTY AVE, QUEENS, New York City, 11419",
LA COCINA DE MAMA,Spanish,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,52,QUEENS,5613,METROPOLITAN AVENUE,11385,"5613 METROPOLITAN AVENUE, QUEENS, New York City, 11385",
NEW SHUN HING CHINESE RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,53,BROOKLYN,1111,Pennsylvania Ave,11207,"1111 Pennsylvania Ave, BROOKLYN, New York City, 11207",
DELHI MASALA RESTAURANT,Indian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",44,MANHATTAN,2077,ADAM CLAYTON POWELL JR BLVD,10027,"2077 ADAM CLAYTON POWELL JR BLVD, MANHATTAN, New York City, 10027",
LEGEND BAR & RESTAURANT,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,44,MANHATTAN,88,7 AVENUE,10011,"88 7 AVENUE, MANHATTAN, New York City, 10011",
GOLDEN CITY CHINESE RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,41,MANHATTAN,423,9 AVENUE,10001,"423 9 AVENUE, MANHATTAN, New York City, 10001",
NEST RESTAURANT & BAR,Caribbean,04M,Live roaches present in facility's food and/or non-food areas.,46,QUEENS,12517,101ST AVE,11419,"12517 101ST AVE, QUEENS, New York City, 11419",
NEW STAR SEAFOOD RESTAURANT,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",50,BROOKLYN,6022,8TH AVE,11220,"6022 8TH AVE, BROOKLYN, New York City, 11220",
T. K. KITCHEN,Asian,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",10,MANHATTAN,26,SAINT MARKS PLACE,10003,"26 SAINT MARKS PLACE, MANHATTAN, New York City, 10003",
PRESTO PIZZA,Pizza,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,66,MANHATTAN,126,LAFAYETTE ST,10013,"126 LAFAYETTE ST, MANHATTAN, New York City, 10013",
VILLA CASTILLO RESTAURANT CORP,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",36,BROOKLYN,1474,PITKIN AVE,11212,"1474 PITKIN AVE, BROOKLYN, New York City, 11212",
ARTICHOKE BASILLE'S PIZZA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,33,QUEENS,2256,31ST ST,11105,"2256 31ST ST, QUEENS, New York City, 11105",
ROASTING PLANT,Caf̩/Coffee/Tea,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",50,MANHATTAN,81,ORCHARD STREET,10002,"81 ORCHARD STREET, MANHATTAN, New York City, 10002",
Island Roti & family,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,61,STATEN ISLAND,65,VICTORY BLVD,10301,"65 VICTORY BLVD, STATEN ISLAND, New York City, 10301",
NOSTRAND DONUT SHOP,Donuts,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,23,BROOKLYN,1449,NOSTRAND AVENUE,11226,"1449 NOSTRAND AVENUE, BROOKLYN, New York City, 11226",
NEW  STAR CHINESE RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,BROOKLYN,2212,AVENUE X,11235,"2212 AVENUE X, BROOKLYN, New York City, 11235",
THE ASTORIA WORLD MANOR,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",38,QUEENS,2522,_ASTORIA BOULEVARD,11102,"2522 _ASTORIA BOULEVARD, QUEENS, New York City, 11102",
BREAD & BUTTER,Delicatessen,04M,Live roaches present in facility's food and/or non-food areas.,36,MANHATTAN,757,3RD AVE,10019,"757 3RD AVE, MANHATTAN, New York City, 10019",
OAXACA TAQUERIA- MURRAY HILL,Mexican,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,38,MANHATTAN,152,E 33RD ST,10016,"152 E 33RD ST, MANHATTAN, New York City, 10016",
JOHNNY'S CAFE,Polish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,45,QUEENS,6039,FRESH POND ROAD,11378,"6039 FRESH POND ROAD, QUEENS, New York City, 11378",
SILVER KRUST WEST INDIAN RESTAURANT,Caribbean,04M,Live roaches present in facility's food and/or non-food areas.,84,BROOKLYN,9001,AVENUE A,11236,"9001 AVENUE A, BROOKLYN, New York City, 11236",
NEW GOOD TASTE CHINESE RESTAURANT,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,11,MANHATTAN,3371,BROADWAY,10031,"3371 BROADWAY, MANHATTAN, New York City, 10031",
NO. 1 CHINESE KITCHEN,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,47,STATEN ISLAND,209,PORT RICHMOND AVE,10302,"209 PORT RICHMOND AVE, STATEN ISLAND, New York City, 10302",
FESTAC GRILL,African,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,30,BROOKLYN,263,HENDRIX ST,11207,"263 HENDRIX ST, BROOKLYN, New York City, 11207",
EL CASTILLO DE MADISON,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,55,MANHATTAN,207,MADISON STREET,10002,"207 MADISON STREET, MANHATTAN, New York City, 10002",
PI PIZZERIA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,38,STATEN ISLAND,965,JEWETT AVE,10314,"965 JEWETT AVE, STATEN ISLAND, New York City, 10314",
A WIN XIN KITCHEN,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,9,BROOKLYN,615,WILSON AVE,11207,"615 WILSON AVE, BROOKLYN, New York City, 11207",
GORDON BENNETT,American,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,35,BROOKLYN,109,SOUTH    6 STREET,11249,"109 SOUTH    6 STREET, BROOKLYN, New York City, 11249",
RU YI BROADWAY RESTAURANT,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,80,QUEENS,8334,BROADWAY,11373,"8334 BROADWAY, QUEENS, New York City, 11373",
COFFEED,Caf̩/Coffee/Tea,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",60,QUEENS,3718,NORTHERN BOULEVARD,11101,"3718 NORTHERN BOULEVARD, QUEENS, New York City, 11101",
NEW KIM WEI KITCHEN,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,40,BROOKLYN,4201,8 AVENUE,11232,"4201 8 AVENUE, BROOKLYN, New York City, 11232",
MCKENNA'S PUB,American,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",50,MANHATTAN,250,WEST   14 STREET,10011,"250 WEST   14 STREET, MANHATTAN, New York City, 10011",
ORANGE HUT,Delicatessen,04M,Live roaches present in facility's food and/or non-food areas.,48,QUEENS,5317,BROADWAY,11377,"5317 BROADWAY, QUEENS, New York City, 11377",
HE LIN RESTAURANT,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,56,QUEENS,8311,BROADWAY,11373,"8311 BROADWAY, QUEENS, New York City, 11373",
BENJAMIN STEAK HOUSE,Steak,04M,Live roaches present in facility's food and/or non-food areas.,42,MANHATTAN,52,EAST   41 STREET,10017,"52 EAST   41 STREET, MANHATTAN, New York City, 10017",
NEW TOPAZ,Thai,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",92,MANHATTAN,127,W 56TH ST,10019,"127 W 56TH ST, MANHATTAN, New York City, 10019",
LEILANY'S BAKERY,Bakery,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",37,QUEENS,11402,JAMAICA AVE,11418,"11402 JAMAICA AVE, QUEENS, New York City, 11418",
PICK & PAY GYRO & PIZZA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,6,MANHATTAN,30,LEXINGTON AVE,10010,"30 LEXINGTON AVE, MANHATTAN, New York City, 10010",
CAROL'S BUN,Chinese,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,51,MANHATTAN,139,EAST BROADWAY,10002,"139 EAST BROADWAY, MANHATTAN, New York City, 10002",
Q & L BAKERY,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,50,BROOKLYN,6516,11 AVENUE,11219,"6516 11 AVENUE, BROOKLYN, New York City, 11219",
GOLDEN PALACE GOURMET,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",35,QUEENS,14009,CHERRRY AVENUE,11355,"14009 CHERRRY AVENUE, QUEENS, New York City, 11355",
NEW WOK,Chinese,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,30,BRONX,481,BROOK AVENUE,10455,"481 BROOK AVENUE, BRONX, New York City, 10455",
LAS PALMAS RESTAURANT,Mexican,04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,52,MANHATTAN,3891,BROADWAY,10032,"3891 BROADWAY, MANHATTAN, New York City, 10032",
ALL STAR PIZZA,Pizza,04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",34,STATEN ISLAND,694,ARTHUR KILL ROAD,10308,"694 ARTHUR KILL ROAD, STATEN ISLAND, New York City, 10308",
TASTY TASTY CHINESE,Chinese,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",44,MANHATTAN,534,E 14TH ST,10009,"534 E 14TH ST, MANHATTAN, New York City, 10009",
MASTER WOK,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,40,BROOKLYN,5100,KINGS PLAZA SHOPPING CT,11234,"5100 KINGS PLAZA SHOPPING CT, BROOKLYN, New York City, 11234",
WICHCRAFT,Sandwiches/Salads/Mixed Buffet,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,46,MANHATTAN,62,CHELSEA PIERS,10011,"62 CHELSEA PIERS, MANHATTAN, New York City, 10011",
LA PULPERIA,Spanish,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,54,MANHATTAN,371,W 46TH ST,10036,"371 W 46TH ST, MANHATTAN, New York City, 10036",
EL RANCHITO POBLANO RESTAURANT,Mexican,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,41,BROOKLYN,1228,FLATBUSH AVENUE,11226,"1228 FLATBUSH AVENUE, BROOKLYN, New York City, 11226",
MABAT,Jewish/Kosher,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",55,BROOKLYN,1809,EAST    7 STREET,11223,"1809 EAST    7 STREET, BROOKLYN, New York City, 11223",
ORIGINAL RAY'S PIZZA,Pizza,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",48,MANHATTAN,811,LEXINGTON AVENUE,10065,"811 LEXINGTON AVENUE, MANHATTAN, New York City, 10065",
LA DONA DEL SABOR,Spanish,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",65,BRONX,572,E 169TH ST,10456,"572 E 169TH ST, BRONX, New York City, 10456",
GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Caribbean,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,35,BROOKLYN,1936,RALPH AVENUE,11234,"1936 RALPH AVENUE, BROOKLYN, New York City, 11234",
PERIZIA CAFE  and  PIZZA,Pizza,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,40,BROOKLYN,1626,EAST   16 STREET,11229,"1626 EAST   16 STREET, BROOKLYN, New York City, 11229",
NEW CITY,Chinese,04M,Live roaches present in facility's food and/or non-food areas.,33,BROOKLYN,236,KNICKERBOCKER AVE,11237,"236 KNICKERBOCKER AVE, BROOKLYN, New York City, 11237",
KFC,Chicken,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,10,BROOKLYN,5223,5TH AVE,11220,"5223 5TH AVE, BROOKLYN, New York City, 11220",
